PULocationID,n_trips,avg_distance,avg_total,avg_tip_pct,Borough,Zone,service_zone
192,42,7.342857,31.10857,0.005305501,Queens,Queensboro Hill,Boro Zone
16,41,10.306098,44.04292,0.014147857,Queens,Bayside,Boro Zone
252,41,10.326096,44.96755,0.026894223,Queens,Whitestone,Boro Zone
101,40,15.53275,69.877975,0.012638047,Queens,Glen Oaks,Boro Zone
64,36,10.554722,48.241936,0.034201454,Queens,Douglaston,Boro Zone
34,33,3.7700002,27.936058,0.17385355,Brooklyn,Brooklyn Navy Yard,Boro Zone
153,31,6.8019357,30.417097,0.008634736,Manhattan,Marble Hill,Boro Zone
154,31,6.13129,33.111294,0.027071917,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone
15,28,9.360715,40.114285,0.04968926,Queens,Bay Terrace/Fort Totten,Boro Zone
190,23,4.286957,28.487825,0.1069693,Brooklyn,Prospect Park,Boro Zone
73,18,10.0,41.202225,0.0,Queens,East Flushing,Boro Zone
120,14,8.240714,78.416435,0.11387788,Manhattan,Highbridge Park,Boro Zone
8,14,7.710715,82.94286,0.27074006,Queens,Astoria Park,Boro Zone
96,13,5.013077,28.957695,0.0891556,Queens,Forest Park/Highland Park,Boro Zone
128,13,6.626154,35.66385,0.17848673,Manhattan,Inwood Hill Park,Boro Zone
46,10,13.2039995,53.625,0.026029725,Bronx,City Island,Boro Zone
31,9,7.937778,52.224445,0.22252059,Bronx,Bronx Park,Boro Zone
240,8,16.558748,64.83,0.027388776,Bronx,Van Cortlandt Park,Boro Zone
214,7,9.341429,29.694288,0.0,Staten Island,South Beach/Dongan Hills,Boro Zone
58,5,13.94,51.576,0.10020671,Bronx,Country Club,Boro Zone
2,4,17.93,66.0525,0.109860145,Queens,Jamaica Bay,Boro Zone
184,4,6.66,30.585,0.0,Bronx,Pelham Bay Park,Boro Zone
57,3,9.056666,66.416664,0.08416667,Queens,Corona,Boro Zone
115,3,2.2366667,31.11,0.2181278,Staten Island,Grymes Hill/Clifton,Boro Zone
59,3,13.566667,53.626667,0.0,Bronx,Crotona Park,Boro Zone
30,2,7.06,53.95,0.013966481,Queens,Broad Channel,Boro Zone
253,2,5.8399997,27.3,0.03440367,Queens,Willets Point,Boro Zone
27,1,3.2,79.2,0.20307691,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
176,1,10.02,73.42,0.42244393,Staten Island,Oakwood,Boro Zone
221,1,0.23,14.89,0.0,Staten Island,Stapleton,Boro Zone
99,1,2.8,15.3,0.0,Staten Island,Freshkills Park,Boro Zone
109,1,2.3,13.9,0.0,Staten Island,Great Kills,Boro Zone
5,1,6.93,56.18,0.0,Staten Island,Arden Heights,Boro Zone
23,1,0.9,7.3,0.0,Staten Island,Bloomfield/Emerson Hill,Boro Zone
172,1,10.35,21.83,0.0,Staten Island,New Dorp/Midland Beach,Boro Zone
199,1,13.97,84.47,0.2505338,Bronx,Rikers Island,Boro Zone
